mission,sensor,expected_product,granule_id,concept_id,acquisition_start,acquisition_end,platform,instrument,orbit_number,equator_crossing_time,equator_crossing_longitude,path,frame,beam_mode,polarization,flight_direction,look_direction,processing_level,download_url,additional_attributes
ALOS-2,PALSAR-2,Level 1 ScanSAR,ALOS2496750800-230804-WBDR1.1__A,G4052865580-ASF,2023-08-04 18:49:02+00:00,2023-08-04T18:49:54Z,ALOS-2,PALSAR-2,49675,,,161,800,WBD,HH;HV,ASCENDING,RIGHT,1.1,https://cumulus.asf.earthdatacloud.nasa.gov/L1.1/ALOS2/ALOS2496750800-230804-WBDR1.1__A.zip,"{""ASCENDING_DESCENDING"": ""ASCENDING"", ""BEAM_MODE"": ""WBD"", ""BEAM_MODE_DESC"": ""ScanSAR nominal [14MHz] mode Dual polarization"", ""CENTER_LAT"": ""40.553"", ""CENTER_LON"": ""76.175"", ""FRAME_NUMBER"": ""800"", ""LOOK_DIRECTION"": ""RIGHT"", ""OFF_NADIR_ANGLE"": ""34.9"", ""OPERATIONAL_MODE"": ""WD1"", ""OPERATIONAL_MODE_DESC"": ""ScanSAR1 (Observation width 350km/resolution 100m)"", ""PATH_NUMBER"": ""161"", ""POLARIZATION"": ""HH;HV"", ""PROCESSING_LEVEL"": ""1.1"", ""SV_POSITION"": ""1764.883463;5106.024499;4460.242468"", ""SV_VELOCITY"": ""0.100011;-5.042971;5.717392""}"
ALOS-2,PALSAR-2,Level 1 ScanSAR,ALOS2496750850-230804-WBDR1.1__A,G4052866017-ASF,2023-08-04 18:49:43+00:00,2023-08-04T18:50:35Z,ALOS-2,PALSAR-2,49675,,,161,850,WBD,HH;HV,ASCENDING,RIGHT,1.1,https://cumulus.asf.earthdatacloud.nasa.gov/L1.1/ALOS2/ALOS2496750850-230804-WBDR1.1__A.zip,"{""ASCENDING_DESCENDING"": ""ASCENDING"", ""BEAM_MODE"": ""WBD"", ""BEAM_MODE_DESC"": ""ScanSAR nominal [14MHz] mode Dual polarization"", ""CENTER_LAT"": ""43.023"", ""CENTER_LON"": ""75.608"", ""FRAME_NUMBER"": ""850"", ""LOOK_DIRECTION"": ""RIGHT"", ""OFF_NADIR_ANGLE"": ""34.9"", ""OPERATIONAL_MODE"": ""WD1"", ""OPERATIONAL_MODE_DESC"": ""ScanSAR1 (Observation width 350km/resolution 100m)"", ""PATH_NUMBER"": ""161"", ""POLARIZATION"": ""HH;HV"", ""PROCESSING_LEVEL"": ""1.1"", ""SV_POSITION"": ""1766.652371;4896.924891;4687.573804"", ""SV_VELOCITY"": ""-0.012937;-5.276766;5.502256""}"
ALOS-2,PALSAR-2,Level 1 ScanSAR,ALOS2498080800-230813-WBDR1.1__A,G4053209892-ASF,2023-08-13 18:42:05+00:00,2023-08-13T18:42:57Z,ALOS-2,PALSAR-2,49808,,,160,800,WBD,HH;HV,ASCENDING,RIGHT,1.1,https://cumulus.asf.earthdatacloud.nasa.gov/L1.1/ALOS2/ALOS2498080800-230813-WBDR1.1__A.zip,"{""ASCENDING_DESCENDING"": ""ASCENDING"", ""BEAM_MODE"": ""WBD"", ""BEAM_MODE_DESC"": ""ScanSAR nominal [14MHz] mode Dual polarization"", ""CENTER_LAT"": ""40.553"", ""CENTER_LON"": ""77.914"", ""FRAME_NUMBER"": ""800"", ""LOOK_DIRECTION"": ""RIGHT"", ""OFF_NADIR_ANGLE"": ""34.9"", ""OPERATIONAL_MODE"": ""WD1"", ""OPERATIONAL_MODE_DESC"": ""ScanSAR1 (Observation width 350km/resolution 100m)"", ""PATH_NUMBER"": ""160"", ""POLARIZATION"": ""HH;HV"", ""PROCESSING_LEVEL"": ""1.1"", ""SV_POSITION"": ""1609.135466;5157.237086;4460.247503"", ""SV_VELOCITY"": ""0.253013;-5.037613;5.717378""}"
ALOS-2,PALSAR-2,Level 1 ScanSAR,ALOS2498080850-230813-WBDR1.1__A,G4053212168-ASF,2023-08-13 18:42:45+00:00,2023-08-13T18:43:37Z,ALOS-2,PALSAR-2,49808,,,160,850,WBD,HH;HV,ASCENDING,RIGHT,1.1,https://cumulus.asf.earthdatacloud.nasa.gov/L1.1/ALOS2/ALOS2498080850-230813-WBDR1.1__A.zip,"{""ASCENDING_DESCENDING"": ""ASCENDING"", ""BEAM_MODE"": ""WBD"", ""BEAM_MODE_DESC"": ""ScanSAR nominal [14MHz] mode Dual polarization"", ""CENTER_LAT"": ""43.023"", ""CENTER_LON"": ""77.347"", ""FRAME_NUMBER"": ""850"", ""LOOK_DIRECTION"": ""RIGHT"", ""OFF_NADIR_ANGLE"": ""34.9"", ""OPERATIONAL_MODE"": ""WD1"", ""OPERATIONAL_MODE_DESC"": ""ScanSAR1 (Observation width 350km/resolution 100m)"", ""PATH_NUMBER"": ""160"", ""POLARIZATION"": ""HH;HV"", ""PROCESSING_LEVEL"": ""1.1"", ""SV_POSITION"": ""1617.249469;4948.286724;4687.579054"", ""SV_VELOCITY"": ""0.147211;-5.274729;5.502241""}"
ALOS-2,PALSAR-2,Level 1 ScanSAR,ALOS2501480850-230905-WBSR1.1__A,G4053985140-ASF,2023-09-05 18:35:48+00:00,2023-09-05T18:36:40Z,ALOS-2,PALSAR-2,50148,,,159,850,WBS,HH,ASCENDING,RIGHT,1.1,https://cumulus.asf.earthdatacloud.nasa.gov/L1.1/ALOS2/ALOS2501480850-230905-WBSR1.1__A.zip,"{""ASCENDING_DESCENDING"": ""ASCENDING"", ""BEAM_MODE"": ""WBS"", ""BEAM_MODE_DESC"": ""ScanSAR nominal [14MHz] mode Single polarization"", ""CENTER_LAT"": ""43.023"", ""CENTER_LON"": ""79.087"", ""FRAME_NUMBER"": ""850"", ""LOOK_DIRECTION"": ""RIGHT"", ""OFF_NADIR_ANGLE"": ""34.9"", ""OPERATIONAL_MODE"": ""WD1"", ""OPERATIONAL_MODE_DESC"": ""ScanSAR1 (Observation width 350km/resolution 100m)"", ""PATH_NUMBER"": ""159"", ""POLARIZATION"": ""HH"", ""PROCESSING_LEVEL"": ""1.1"", ""SV_POSITION"": ""1466.277458;4995.112347;4687.611345"", ""SV_VELOCITY"": ""0.307059;-5.267795;5.502227""}"
ALOS-2,PALSAR-2,Level 1 ScanSAR,ALOS2502960800-230915-WBSR1.1__A,G4054212319-ASF,2023-09-15 18:49:02+00:00,2023-09-15T18:49:54Z,ALOS-2,PALSAR-2,50296,,,161,800,WBS,HH,ASCENDING,RIGHT,1.1,https://cumulus.asf.earthdatacloud.nasa.gov/L1.1/ALOS2/ALOS2502960800-230915-WBSR1.1__A.zip,"{""ASCENDING_DESCENDING"": ""ASCENDING"", ""BEAM_MODE"": ""WBS"", ""BEAM_MODE_DESC"": ""ScanSAR nominal [14MHz] mode Single polarization"", ""CENTER_LAT"": ""40.553"", ""CENTER_LON"": ""76.175"", ""FRAME_NUMBER"": ""800"", ""LOOK_DIRECTION"": ""RIGHT"", ""OFF_NADIR_ANGLE"": ""34.9"", ""OPERATIONAL_MODE"": ""WD1"", ""OPERATIONAL_MODE_DESC"": ""ScanSAR1 (Observation width 350km/resolution 100m)"", ""PATH_NUMBER"": ""161"", ""POLARIZATION"": ""HH"", ""PROCESSING_LEVEL"": ""1.1"", ""SV_POSITION"": ""1764.895955;5106.089286;4460.286999"", ""SV_VELOCITY"": ""0.10008;-5.042899;5.717348""}"
ALOS-2,PALSAR-2,Level 1 ScanSAR,ALOS2502960850-230915-WBSR1.1__A,G4054211277-ASF,2023-09-15 18:49:43+00:00,2023-09-15T18:50:35Z,ALOS-2,PALSAR-2,50296,,,161,850,WBS,HH,ASCENDING,RIGHT,1.1,https://cumulus.asf.earthdatacloud.nasa.gov/L1.1/ALOS2/ALOS2502960850-230915-WBSR1.1__A.zip,"{""ASCENDING_DESCENDING"": ""ASCENDING"", ""BEAM_MODE"": ""WBS"", ""BEAM_MODE_DESC"": ""ScanSAR nominal [14MHz] mode Single polarization"", ""CENTER_LAT"": ""43.023"", ""CENTER_LON"": ""75.609"", ""FRAME_NUMBER"": ""850"", ""LOOK_DIRECTION"": ""RIGHT"", ""OFF_NADIR_ANGLE"": ""34.9"", ""OPERATIONAL_MODE"": ""WD1"", ""OPERATIONAL_MODE_DESC"": ""ScanSAR1 (Observation width 350km/resolution 100m)"", ""PATH_NUMBER"": ""161"", ""POLARIZATION"": ""HH"", ""PROCESSING_LEVEL"": ""1.1"", ""SV_POSITION"": ""1766.667689;4896.988272;4687.621205"", ""SV_VELOCITY"": ""-0.012868;-5.276695;5.502212""}"
ALOS-2,PALSAR-2,Level 1 ScanSAR,ALOS2504512750-230926-WBSR1.1__D,G4054838580-ASF,2023-09-26 06:51:01+00:00,2023-09-26T06:51:53Z,ALOS-2,PALSAR-2,50451,,,54,2750,WBS,HH,DESCENDING,RIGHT,1.1,https://cumulus.asf.earthdatacloud.nasa.gov/L1.1/ALOS2/ALOS2504512750-230926-WBSR1.1__D.zip,"{""ASCENDING_DESCENDING"": ""DESCENDING"", ""BEAM_MODE"": ""WBS"", ""BEAM_MODE_DESC"": ""ScanSAR nominal [14MHz] mode Single polarization"", ""CENTER_LAT"": ""43.023"", ""CENTER_LON"": ""78.8"", ""FRAME_NUMBER"": ""2750"", ""LOOK_DIRECTION"": ""RIGHT"", ""OFF_NADIR_ANGLE"": ""34.9"", ""OPERATIONAL_MODE"": ""WD1"", ""OPERATIONAL_MODE_DESC"": ""ScanSAR1 (Observation width 350km/resolution 100m)"", ""PATH_NUMBER"": ""54"", ""POLARIZATION"": ""HH"", ""PROCESSING_LEVEL"": ""1.1"", ""SV_POSITION"": ""522.144352;5179.338806;4687.338944"", ""SV_VELOCITY"": ""2.267872;4.764707;-5.502621""}"
ALOS-2,PALSAR-2,Level 1 ScanSAR,ALOS2504512800-230926-WBSR1.1__D,G4054840898-ASF,2023-09-26 06:51:41+00:00,2023-09-26T06:52:33Z,ALOS-2,PALSAR-2,50451,,,54,2800,WBS,HH,DESCENDING,RIGHT,1.1,https://cumulus.asf.earthdatacloud.nasa.gov/L1.1/ALOS2/ALOS2504512800-230926-WBSR1.1__D.zip,"{""ASCENDING_DESCENDING"": ""DESCENDING"", ""BEAM_MODE"": ""WBS"", ""BEAM_MODE_DESC"": ""ScanSAR nominal [14MHz] mode Single polarization"", ""CENTER_LAT"": ""40.552"", ""CENTER_LON"": ""78.234"", ""FRAME_NUMBER"": ""2800"", ""LOOK_DIRECTION"": ""RIGHT"", ""OFF_NADIR_ANGLE"": ""34.9"", ""OPERATIONAL_MODE"": ""WD1"", ""OPERATIONAL_MODE_DESC"": ""ScanSAR1 (Observation width 350km/resolution 100m)"", ""PATH_NUMBER"": ""54"", ""POLARIZATION"": ""HH"", ""PROCESSING_LEVEL"": ""1.1"", ""SV_POSITION"": ""614.0608;5367.143416;4460.015148"", ""SV_VELOCITY"": ""2.26874;4.505062;-5.717756""}"
ALOS-2,PALSAR-2,Level 1 ScanSAR,ALOS2550570800-240802-WBDR1.1__A,G4055618127-ASF,2024-08-02 18:49:03+00:00,2024-08-02T18:49:55Z,ALOS-2,PALSAR-2,55057,,,161,800,WBD,HH;HV,ASCENDING,RIGHT,1.1,https://cumulus.asf.earthdatacloud.nasa.gov/L1.1/ALOS2/ALOS2550570800-240802-WBDR1.1__A.zip,"{""ASCENDING_DESCENDING"": ""ASCENDING"", ""BEAM_MODE"": ""WBD"", ""BEAM_MODE_DESC"": ""ScanSAR nominal [14MHz] mode Dual polarization"", ""CENTER_LAT"": ""40.553"", ""CENTER_LON"": ""76.174"", ""FRAME_NUMBER"": ""800"", ""LOOK_DIRECTION"": ""RIGHT"", ""OFF_NADIR_ANGLE"": ""34.9"", ""OPERATIONAL_MODE"": ""WD1"", ""OPERATIONAL_MODE_DESC"": ""ScanSAR1 (Observation width 350km/resolution 100m)"", ""PATH_NUMBER"": ""161"", ""POLARIZATION"": ""HH;HV"", ""PROCESSING_LEVEL"": ""1.1"", ""SV_POSITION"": ""1764.929855;5105.989398;4460.219972"", ""SV_VELOCITY"": ""0.100028;-5.042994;5.717408""}"
