mission,scene_1,date_1,scene_2,date_2,year_1,year_2,pair_type,temporal_baseline_days,repeat_cycle_days,repeat_cycle_multiple,expected_cycle_days,cycle_difference_days,same_geometry_metadata,metadata_compared,metadata_mismatches,path_1,path_2,frame_1,frame_2,beam_1,beam_2,polarization_1,polarization_2,direction_1,direction_2
ALOS,ALPSRP230860830-L1.1,2010-05-25 17:14:41.987000+00:00,ALPSRP237570830-L1.1,2010-07-10 17:14:14.046000+00:00,2010,2010,same_year,46.0,46,1,46,0.0,True,"path,frame,beam_mode,polarization,flight_direction,look_direction",,519,519,830,830,FBD,FBD,HH+HV,HH+HV,ASCENDING,ASCENDING
ALOS,ALPSRP237570830-L1.1,2010-07-10 17:14:14.046000+00:00,ALPSRP244280830-L1.1,2010-08-25 17:13:41.804000+00:00,2010,2010,same_year,46.0,46,1,46,0.0,True,"path,frame,beam_mode,polarization,flight_direction,look_direction",,519,519,830,830,FBD,FBD,HH+HV,HH+HV,ASCENDING,ASCENDING
ALOS,ALPSRP244280830-L1.1,2010-08-25 17:13:41.804000+00:00,ALPSRP250990830-L1.1,2010-10-10 17:13:03.047000+00:00,2010,2010,same_year,46.0,46,1,46,0.0,True,"path,frame,beam_mode,polarization,flight_direction,look_direction",,519,519,830,830,FBD,FBD,HH+HV,HH+HV,ASCENDING,ASCENDING
ALOS,ALPSRP230860830-L1.1,2010-05-25 17:14:41.987000+00:00,ALPSRP244280830-L1.1,2010-08-25 17:13:41.804000+00:00,2010,2010,same_year,92.0,46,2,92,0.0,True,"path,frame,beam_mode,polarization,flight_direction,look_direction",,519,519,830,830,FBD,FBD,HH+HV,HH+HV,ASCENDING,ASCENDING
ALOS,ALPSRP237570830-L1.1,2010-07-10 17:14:14.046000+00:00,ALPSRP250990830-L1.1,2010-10-10 17:13:03.047000+00:00,2010,2010,same_year,92.0,46,2,92,0.0,True,"path,frame,beam_mode,polarization,flight_direction,look_direction",,519,519,830,830,FBD,FBD,HH+HV,HH+HV,ASCENDING,ASCENDING
ALOS,ALPSRP230860830-L1.1,2010-05-25 17:14:41.987000+00:00,ALPSRP250990830-L1.1,2010-10-10 17:13:03.047000+00:00,2010,2010,same_year,138.0,46,3,138,0.0,True,"path,frame,beam_mode,polarization,flight_direction,look_direction",,519,519,830,830,FBD,FBD,HH+HV,HH+HV,ASCENDING,ASCENDING
ALOS,ALPSRP190600830-L1.1,2009-08-22 17:15:30.754000+00:00,ALPSRP230860830-L1.1,2010-05-25 17:14:41.987000+00:00,2009,2010,cross_year,276.0,46,6,276,0.0,True,"path,frame,beam_mode,polarization,flight_direction,look_direction",,519,519,830,830,FBD,FBD,HH+HV,HH+HV,ASCENDING,ASCENDING
ALOS,ALPSRP190600830-L1.1,2009-08-22 17:15:30.754000+00:00,ALPSRP237570830-L1.1,2010-07-10 17:14:14.046000+00:00,2009,2010,cross_year,322.0,46,7,322,0.0,True,"path,frame,beam_mode,polarization,flight_direction,look_direction",,519,519,830,830,FBD,FBD,HH+HV,HH+HV,ASCENDING,ASCENDING
ALOS,ALPSRP190600830-L1.1,2009-08-22 17:15:30.754000+00:00,ALPSRP244280830-L1.1,2010-08-25 17:13:41.804000+00:00,2009,2010,cross_year,368.0,46,8,368,0.0,True,"path,frame,beam_mode,polarization,flight_direction,look_direction",,519,519,830,830,FBD,FBD,HH+HV,HH+HV,ASCENDING,ASCENDING
ALOS,ALPSRP190600830-L1.1,2009-08-22 17:15:30.754000+00:00,ALPSRP250990830-L1.1,2010-10-10 17:13:03.047000+00:00,2009,2010,cross_year,414.0,46,9,414,0.0,True,"path,frame,beam_mode,polarization,flight_direction,look_direction",,519,519,830,830,FBD,FBD,HH+HV,HH+HV,ASCENDING,ASCENDING
ALOS,ALPSRP240050830-L1.1,2010-07-27 17:16:11.198000+00:00,ALPSRP244280830-L1.1,2010-08-25 17:13:41.804000+00:00,2010,2010,same_year,29.0,46,1,46,17.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction",path,520,519,830,830,FBD,FBD,HH+HV,HH+HV,ASCENDING,ASCENDING
ALOS,ALPSRP230860830-L1.1,2010-05-25 17:14:41.987000+00:00,ALPSRP240050830-L1.1,2010-07-27 17:16:11.198000+00:00,2010,2010,same_year,63.0,46,1,46,17.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction",path,519,520,830,830,FBD,FBD,HH+HV,HH+HV,ASCENDING,ASCENDING
ALOS,ALPSRP240050830-L1.1,2010-07-27 17:16:11.198000+00:00,ALPSRP250990830-L1.1,2010-10-10 17:13:03.047000+00:00,2010,2010,same_year,75.0,46,2,92,17.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction",path,520,519,830,830,FBD,FBD,HH+HV,HH+HV,ASCENDING,ASCENDING
ALOS,ALPSRP190600830-L1.1,2009-08-22 17:15:30.754000+00:00,ALPSRP240050830-L1.1,2010-07-27 17:16:11.198000+00:00,2009,2010,cross_year,339.0,46,7,322,17.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction",path,519,520,830,830,FBD,FBD,HH+HV,HH+HV,ASCENDING,ASCENDING
ALOS,ALPSRP237570830-L1.1,2010-07-10 17:14:14.046000+00:00,ALPSRP240050830-L1.1,2010-07-27 17:16:11.198000+00:00,2010,2010,same_year,17.0,46,1,46,29.0,False,"path,frame,beam_mode,polarization,flight_direction,look_direction",path,519,520,830,830,FBD,FBD,HH+HV,HH+HV,ASCENDING,ASCENDING
