mission,scene_1,date_1,scene_2,date_2,year_1,year_2,path_1,path_2,frame_1,frame_2,orbit_direction_1,orbit_direction_2,beam_1,beam_2,polarization_1,polarization_2,look_direction_1,look_direction_2,temporal_baseline_days,season_difference_days,season_match_class,repeat_cycle_days,nearest_repeat_cycle_multiple,expected_repeat_cycle_days,repeat_cycle_difference_days,pair_status,metadata_missing,metadata_mismatches,priority_score
ALOS,ALPSRP190600830-L1.1,2009-08-22T17:15:30.754000+00:00,ALPSRP230860830-L1.1,2010-05-25T17:14:41.987000+00:00,2009,2010,519,519,830,830,ASCENDING,ASCENDING,FBD,FBD,HH;HV,HH;HV,RIGHT,RIGHT,275.99943556712964,89,poor seasonal match,46,6,276,0.0005644328703624524,COMPATIBLE,,,1
ALOS,ALPSRP190600830-L1.1,2009-08-22T17:15:30.754000+00:00,ALPSRP237570830-L1.1,2010-07-10T17:14:14.046000+00:00,2009,2010,519,519,830,830,ASCENDING,ASCENDING,FBD,FBD,HH;HV,HH;HV,RIGHT,RIGHT,321.9991121759259,43,acceptable seasonal match,46,7,322,0.0008878240740841647,COMPATIBLE,,,3
ALOS,ALPSRP190600830-L1.1,2009-08-22T17:15:30.754000+00:00,ALPSRP240050830-L1.1,2010-07-27T17:16:11.198000+00:00,2009,2010,519,520,830,830,ASCENDING,ASCENDING,FBD,FBD,HH;HV,HH;HV,RIGHT,RIGHT,339.0004681018518,26,good seasonal match,46,7,322,17.000468101851823,REJECT_GEOMETRY,,path,
ALOS,ALPSRP190600830-L1.1,2009-08-22T17:15:30.754000+00:00,ALPSRP244280830-L1.1,2010-08-25T17:13:41.804000+00:00,2009,2010,519,519,830,830,ASCENDING,ASCENDING,FBD,FBD,HH;HV,HH;HV,RIGHT,RIGHT,367.9987390046296,3,excellent seasonal match,46,8,368,0.0012609953703872634,COMPATIBLE,,,4
ALOS,ALPSRP190600830-L1.1,2009-08-22T17:15:30.754000+00:00,ALPSRP250990830-L1.1,2010-10-10T17:13:03.047000+00:00,2009,2010,519,519,830,830,ASCENDING,ASCENDING,FBD,FBD,HH;HV,HH;HV,RIGHT,RIGHT,413.9982904282407,49,poor seasonal match,46,9,414,0.0017095717593065274,COMPATIBLE,,,2
ALOS-2,ALOS2496750800-230804-WBDR1.1__A,2023-08-04T18:49:02+00:00,ALOS2550570800-240802-WBDR1.1__A,2024-08-02T18:49:03+00:00,2023,2024,161,161,800,800,ASCENDING,ASCENDING,WBD,WBD,HH;HV,HH;HV,RIGHT,RIGHT,364.00001157407405,2,excellent seasonal match,14,26,364,1.1574074051168282e-05,COMPATIBLE,,,2
ALOS-2,ALOS2496750800-230804-WBDR1.1__A,2023-08-04T18:49:02+00:00,ALOS2553230850-240820-WBDR1.1__A,2024-08-20T18:35:49+00:00,2023,2024,161,159,800,850,ASCENDING,ASCENDING,WBD,WBD,HH;HV,HH;HV,RIGHT,RIGHT,381.99082175925923,16,good seasonal match,14,27,378,3.9908217592592337,REJECT_GEOMETRY,,path;frame,
ALOS-2,ALOS2496750800-230804-WBDR1.1__A,2023-08-04T18:49:02+00:00,ALOS2556780800-240913-WBSR1.1__A,2024-09-13T18:49:03+00:00,2023,2024,161,161,800,800,ASCENDING,ASCENDING,WBD,WBS,HH;HV,HH,RIGHT,RIGHT,406.00001157407405,40,acceptable seasonal match,14,29,406,1.1574074051168282e-05,REJECT_GEOMETRY,,beam_mode;polarization,
ALOS-2,ALOS2496750800-230804-WBDR1.1__A,2023-08-04T18:49:02+00:00,ALOS2556780850-240913-WBSR1.1__A,2024-09-13T18:49:43+00:00,2023,2024,161,161,800,850,ASCENDING,ASCENDING,WBD,WBS,HH;HV,HH,RIGHT,RIGHT,406.00047453703706,40,acceptable seasonal match,14,29,406,0.00047453703706423767,REJECT_GEOMETRY,,frame;beam_mode;polarization,
ALOS-2,ALOS2496750800-230804-WBDR1.1__A,2023-08-04T18:49:02+00:00,ALOS2558332750-240924-WBSR1.1__D,2024-09-24T06:51:01+00:00,2023,2024,161,54,800,2750,ASCENDING,DESCENDING,WBD,WBS,HH;HV,HH,RIGHT,RIGHT,416.5013773148148,51,poor seasonal match,14,30,420,3.4986226851851825,REJECT_GEOMETRY,,path;frame;orbit_direction;beam_mode;polarization,
ALOS-2,ALOS2496750800-230804-WBDR1.1__A,2023-08-04T18:49:02+00:00,ALOS2558332800-240924-WBSR1.1__D,2024-09-24T06:51:41+00:00,2023,2024,161,54,800,2800,ASCENDING,DESCENDING,WBD,WBS,HH;HV,HH,RIGHT,RIGHT,416.5018402777778,51,poor seasonal match,14,30,420,3.4981597222222263,REJECT_GEOMETRY,,path;frame;orbit_direction;beam_mode;polarization,
ALOS-2,ALOS2496750800-230804-WBDR1.1__A,2023-08-04T18:49:02+00:00,ALOS2560180800-241006-WBDR1.1__A,2024-10-06T18:42:05+00:00,2023,2024,161,160,800,800,ASCENDING,ASCENDING,WBD,WBD,HH;HV,HH;HV,RIGHT,RIGHT,428.9951736111111,63,poor seasonal match,14,31,434,5.004826388888887,REJECT_GEOMETRY,,path,
ALOS-2,ALOS2496750850-230804-WBDR1.1__A,2023-08-04T18:49:43+00:00,ALOS2550570800-240802-WBDR1.1__A,2024-08-02T18:49:03+00:00,2023,2024,161,161,850,800,ASCENDING,ASCENDING,WBD,WBD,HH;HV,HH;HV,RIGHT,RIGHT,363.99953703703704,2,excellent seasonal match,14,26,364,0.00046296296295622597,REJECT_GEOMETRY,,frame,
ALOS-2,ALOS2496750850-230804-WBDR1.1__A,2023-08-04T18:49:43+00:00,ALOS2553230850-240820-WBDR1.1__A,2024-08-20T18:35:49+00:00,2023,2024,161,159,850,850,ASCENDING,ASCENDING,WBD,WBD,HH;HV,HH;HV,RIGHT,RIGHT,381.9903472222222,16,good seasonal match,14,27,378,3.9903472222222263,REJECT_GEOMETRY,,path,
ALOS-2,ALOS2496750850-230804-WBDR1.1__A,2023-08-04T18:49:43+00:00,ALOS2556780800-240913-WBSR1.1__A,2024-09-13T18:49:03+00:00,2023,2024,161,161,850,800,ASCENDING,ASCENDING,WBD,WBS,HH;HV,HH,RIGHT,RIGHT,405.99953703703704,40,acceptable seasonal match,14,29,406,0.00046296296295622597,REJECT_GEOMETRY,,frame;beam_mode;polarization,
ALOS-2,ALOS2496750850-230804-WBDR1.1__A,2023-08-04T18:49:43+00:00,ALOS2556780850-240913-WBSR1.1__A,2024-09-13T18:49:43+00:00,2023,2024,161,161,850,850,ASCENDING,ASCENDING,WBD,WBS,HH;HV,HH,RIGHT,RIGHT,406.0,40,acceptable seasonal match,14,29,406,0.0,REJECT_GEOMETRY,,beam_mode;polarization,
ALOS-2,ALOS2496750850-230804-WBDR1.1__A,2023-08-04T18:49:43+00:00,ALOS2558332750-240924-WBSR1.1__D,2024-09-24T06:51:01+00:00,2023,2024,161,54,850,2750,ASCENDING,DESCENDING,WBD,WBS,HH;HV,HH,RIGHT,RIGHT,416.50090277777775,51,poor seasonal match,14,30,420,3.4990972222222467,REJECT_GEOMETRY,,path;frame;orbit_direction;beam_mode;polarization,
ALOS-2,ALOS2496750850-230804-WBDR1.1__A,2023-08-04T18:49:43+00:00,ALOS2558332800-240924-WBSR1.1__D,2024-09-24T06:51:41+00:00,2023,2024,161,54,850,2800,ASCENDING,DESCENDING,WBD,WBS,HH;HV,HH,RIGHT,RIGHT,416.50136574074077,51,poor seasonal match,14,30,420,3.4986342592592337,REJECT_GEOMETRY,,path;frame;orbit_direction;beam_mode;polarization,
ALOS-2,ALOS2496750850-230804-WBDR1.1__A,2023-08-04T18:49:43+00:00,ALOS2560180800-241006-WBDR1.1__A,2024-10-06T18:42:05+00:00,2023,2024,161,160,850,800,ASCENDING,ASCENDING,WBD,WBD,HH;HV,HH;HV,RIGHT,RIGHT,428.99469907407405,63,poor seasonal match,14,31,434,5.005300925925951,REJECT_GEOMETRY,,path;frame,
ALOS-2,ALOS2498080800-230813-WBDR1.1__A,2023-08-13T18:42:05+00:00,ALOS2550570800-240802-WBDR1.1__A,2024-08-02T18:49:03+00:00,2023,2024,160,161,800,800,ASCENDING,ASCENDING,WBD,WBD,HH;HV,HH;HV,RIGHT,RIGHT,355.00483796296294,11,excellent seasonal match,14,25,350,5.004837962962938,REJECT_GEOMETRY,,path,
ALOS-2,ALOS2498080800-230813-WBDR1.1__A,2023-08-13T18:42:05+00:00,ALOS2553230850-240820-WBDR1.1__A,2024-08-20T18:35:49+00:00,2023,2024,160,159,800,850,ASCENDING,ASCENDING,WBD,WBD,HH;HV,HH;HV,RIGHT,RIGHT,372.9956481481481,7,excellent seasonal match,14,27,378,5.0043518518518795,REJECT_GEOMETRY,,path;frame,
ALOS-2,ALOS2498080800-230813-WBDR1.1__A,2023-08-13T18:42:05+00:00,ALOS2556780800-240913-WBSR1.1__A,2024-09-13T18:49:03+00:00,2023,2024,160,161,800,800,ASCENDING,ASCENDING,WBD,WBS,HH;HV,HH,RIGHT,RIGHT,397.00483796296294,31,acceptable seasonal match,14,28,392,5.004837962962938,REJECT_GEOMETRY,,path;beam_mode;polarization,
ALOS-2,ALOS2498080800-230813-WBDR1.1__A,2023-08-13T18:42:05+00:00,ALOS2556780850-240913-WBSR1.1__A,2024-09-13T18:49:43+00:00,2023,2024,160,161,800,850,ASCENDING,ASCENDING,WBD,WBS,HH;HV,HH,RIGHT,RIGHT,397.00530092592595,31,acceptable seasonal match,14,28,392,5.005300925925951,REJECT_GEOMETRY,,path;frame;beam_mode;polarization,
ALOS-2,ALOS2498080800-230813-WBDR1.1__A,2023-08-13T18:42:05+00:00,ALOS2558332750-240924-WBSR1.1__D,2024-09-24T06:51:01+00:00,2023,2024,160,54,800,2750,ASCENDING,DESCENDING,WBD,WBS,HH;HV,HH,RIGHT,RIGHT,407.5062037037037,42,acceptable seasonal match,14,29,406,1.5062037037037044,REJECT_GEOMETRY,,path;frame;orbit_direction;beam_mode;polarization,
ALOS-2,ALOS2498080800-230813-WBDR1.1__A,2023-08-13T18:42:05+00:00,ALOS2558332800-240924-WBSR1.1__D,2024-09-24T06:51:41+00:00,2023,2024,160,54,800,2800,ASCENDING,DESCENDING,WBD,WBS,HH;HV,HH,RIGHT,RIGHT,407.50666666666666,42,acceptable seasonal match,14,29,406,1.5066666666666606,REJECT_GEOMETRY,,path;frame;orbit_direction;beam_mode;polarization,
ALOS-2,ALOS2498080800-230813-WBDR1.1__A,2023-08-13T18:42:05+00:00,ALOS2560180800-241006-WBDR1.1__A,2024-10-06T18:42:05+00:00,2023,2024,160,160,800,800,ASCENDING,ASCENDING,WBD,WBD,HH;HV,HH;HV,RIGHT,RIGHT,420.0,54,poor seasonal match,14,30,420,0.0,COMPATIBLE,,,1
ALOS-2,ALOS2498080850-230813-WBDR1.1__A,2023-08-13T18:42:45+00:00,ALOS2550570800-240802-WBDR1.1__A,2024-08-02T18:49:03+00:00,2023,2024,160,161,850,800,ASCENDING,ASCENDING,WBD,WBD,HH;HV,HH;HV,RIGHT,RIGHT,355.004375,11,excellent seasonal match,14,25,350,5.004374999999982,REJECT_GEOMETRY,,path;frame,
ALOS-2,ALOS2498080850-230813-WBDR1.1__A,2023-08-13T18:42:45+00:00,ALOS2553230850-240820-WBDR1.1__A,2024-08-20T18:35:49+00:00,2023,2024,160,159,850,850,ASCENDING,ASCENDING,WBD,WBD,HH;HV,HH;HV,RIGHT,RIGHT,372.99518518518516,7,excellent seasonal match,14,27,378,5.004814814814836,REJECT_GEOMETRY,,path,
ALOS-2,ALOS2498080850-230813-WBDR1.1__A,2023-08-13T18:42:45+00:00,ALOS2556780800-240913-WBSR1.1__A,2024-09-13T18:49:03+00:00,2023,2024,160,161,850,800,ASCENDING,ASCENDING,WBD,WBS,HH;HV,HH,RIGHT,RIGHT,397.004375,31,acceptable seasonal match,14,28,392,5.004374999999982,REJECT_GEOMETRY,,path;frame;beam_mode;polarization,
ALOS-2,ALOS2498080850-230813-WBDR1.1__A,2023-08-13T18:42:45+00:00,ALOS2556780850-240913-WBSR1.1__A,2024-09-13T18:49:43+00:00,2023,2024,160,161,850,850,ASCENDING,ASCENDING,WBD,WBS,HH;HV,HH,RIGHT,RIGHT,397.00483796296294,31,acceptable seasonal match,14,28,392,5.004837962962938,REJECT_GEOMETRY,,path;beam_mode;polarization,
ALOS-2,ALOS2498080850-230813-WBDR1.1__A,2023-08-13T18:42:45+00:00,ALOS2558332750-240924-WBSR1.1__D,2024-09-24T06:51:01+00:00,2023,2024,160,54,850,2750,ASCENDING,DESCENDING,WBD,WBS,HH;HV,HH,RIGHT,RIGHT,407.50574074074075,42,acceptable seasonal match,14,29,406,1.5057407407407482,REJECT_GEOMETRY,,path;frame;orbit_direction;beam_mode;polarization,
ALOS-2,ALOS2498080850-230813-WBDR1.1__A,2023-08-13T18:42:45+00:00,ALOS2558332800-240924-WBSR1.1__D,2024-09-24T06:51:41+00:00,2023,2024,160,54,850,2800,ASCENDING,DESCENDING,WBD,WBS,HH;HV,HH,RIGHT,RIGHT,407.5062037037037,42,acceptable seasonal match,14,29,406,1.5062037037037044,REJECT_GEOMETRY,,path;frame;orbit_direction;beam_mode;polarization,
ALOS-2,ALOS2498080850-230813-WBDR1.1__A,2023-08-13T18:42:45+00:00,ALOS2560180800-241006-WBDR1.1__A,2024-10-06T18:42:05+00:00,2023,2024,160,160,850,800,ASCENDING,ASCENDING,WBD,WBD,HH;HV,HH;HV,RIGHT,RIGHT,419.99953703703704,54,poor seasonal match,14,30,420,0.00046296296295622597,REJECT_GEOMETRY,,frame,
ALOS-2,ALOS2501480850-230905-WBSR1.1__A,2023-09-05T18:35:48+00:00,ALOS2550570800-240802-WBDR1.1__A,2024-08-02T18:49:03+00:00,2023,2024,159,161,850,800,ASCENDING,ASCENDING,WBS,WBD,HH,HH;HV,RIGHT,RIGHT,332.00920138888887,34,acceptable seasonal match,14,24,336,3.9907986111111313,REJECT_GEOMETRY,,path;frame;beam_mode;polarization,
ALOS-2,ALOS2501480850-230905-WBSR1.1__A,2023-09-05T18:35:48+00:00,ALOS2553230850-240820-WBDR1.1__A,2024-08-20T18:35:49+00:00,2023,2024,159,159,850,850,ASCENDING,ASCENDING,WBS,WBD,HH,HH;HV,RIGHT,RIGHT,350.00001157407405,16,good seasonal match,14,25,350,1.1574074051168282e-05,REJECT_GEOMETRY,,beam_mode;polarization,
ALOS-2,ALOS2501480850-230905-WBSR1.1__A,2023-09-05T18:35:48+00:00,ALOS2556780800-240913-WBSR1.1__A,2024-09-13T18:49:03+00:00,2023,2024,159,161,850,800,ASCENDING,ASCENDING,WBS,WBS,HH,HH,RIGHT,RIGHT,374.00920138888887,8,excellent seasonal match,14,27,378,3.9907986111111313,REJECT_GEOMETRY,,path;frame,
ALOS-2,ALOS2501480850-230905-WBSR1.1__A,2023-09-05T18:35:48+00:00,ALOS2556780850-240913-WBSR1.1__A,2024-09-13T18:49:43+00:00,2023,2024,159,161,850,850,ASCENDING,ASCENDING,WBS,WBS,HH,HH,RIGHT,RIGHT,374.0096643518518,8,excellent seasonal match,14,27,378,3.990335648148175,REJECT_GEOMETRY,,path,
