mission,sensor,scene_name,granule_id,acquisition_start,acquisition_end,processing_level,path,frame,absolute_orbit_number,orbit_direction,beam_mode,polarization,look_direction,collection_concept_id,granule_concept_id,download_url
ALOS-2,PALSAR-2,ALOS2496750800-230804,ALOS2496750800-230804-WBDR1.1__A,2023-08-04T18:49:02Z,2023-08-04T18:49:54Z,1.1,161,800,49675,ASCENDING,WBD,HH;HV,RIGHT,C3315903479-ASF,G4052865580-ASF,https://cumulus.asf.earthdatacloud.nasa.gov/L1.1/ALOS2/ALOS2496750800-230804-WBDR1.1__A.zip
ALOS-2,PALSAR-2,ALOS2496750850-230804,ALOS2496750850-230804-WBDR1.1__A,2023-08-04T18:49:43Z,2023-08-04T18:50:35Z,1.1,161,850,49675,ASCENDING,WBD,HH;HV,RIGHT,C3315903479-ASF,G4052866017-ASF,https://cumulus.asf.earthdatacloud.nasa.gov/L1.1/ALOS2/ALOS2496750850-230804-WBDR1.1__A.zip
ALOS-2,PALSAR-2,ALOS2498080800-230813,ALOS2498080800-230813-WBDR1.1__A,2023-08-13T18:42:05Z,2023-08-13T18:42:57Z,1.1,160,800,49808,ASCENDING,WBD,HH;HV,RIGHT,C3315903479-ASF,G4053209892-ASF,https://cumulus.asf.earthdatacloud.nasa.gov/L1.1/ALOS2/ALOS2498080800-230813-WBDR1.1__A.zip
ALOS-2,PALSAR-2,ALOS2498080850-230813,ALOS2498080850-230813-WBDR1.1__A,2023-08-13T18:42:45Z,2023-08-13T18:43:37Z,1.1,160,850,49808,ASCENDING,WBD,HH;HV,RIGHT,C3315903479-ASF,G4053212168-ASF,https://cumulus.asf.earthdatacloud.nasa.gov/L1.1/ALOS2/ALOS2498080850-230813-WBDR1.1__A.zip
ALOS-2,PALSAR-2,ALOS2501480850-230905,ALOS2501480850-230905-WBSR1.1__A,2023-09-05T18:35:48Z,2023-09-05T18:36:40Z,1.1,159,850,50148,ASCENDING,WBS,HH,RIGHT,C3315903479-ASF,G4053985140-ASF,https://cumulus.asf.earthdatacloud.nasa.gov/L1.1/ALOS2/ALOS2501480850-230905-WBSR1.1__A.zip
ALOS-2,PALSAR-2,ALOS2502960800-230915,ALOS2502960800-230915-WBSR1.1__A,2023-09-15T18:49:02Z,2023-09-15T18:49:54Z,1.1,161,800,50296,ASCENDING,WBS,HH,RIGHT,C3315903479-ASF,G4054212319-ASF,https://cumulus.asf.earthdatacloud.nasa.gov/L1.1/ALOS2/ALOS2502960800-230915-WBSR1.1__A.zip
ALOS-2,PALSAR-2,ALOS2502960850-230915,ALOS2502960850-230915-WBSR1.1__A,2023-09-15T18:49:43Z,2023-09-15T18:50:35Z,1.1,161,850,50296,ASCENDING,WBS,HH,RIGHT,C3315903479-ASF,G4054211277-ASF,https://cumulus.asf.earthdatacloud.nasa.gov/L1.1/ALOS2/ALOS2502960850-230915-WBSR1.1__A.zip
ALOS-2,PALSAR-2,ALOS2504512750-230926,ALOS2504512750-230926-WBSR1.1__D,2023-09-26T06:51:01Z,2023-09-26T06:51:53Z,1.1,54,2750,50451,DESCENDING,WBS,HH,RIGHT,C3315903479-ASF,G4054838580-ASF,https://cumulus.asf.earthdatacloud.nasa.gov/L1.1/ALOS2/ALOS2504512750-230926-WBSR1.1__D.zip
ALOS-2,PALSAR-2,ALOS2504512800-230926,ALOS2504512800-230926-WBSR1.1__D,2023-09-26T06:51:41Z,2023-09-26T06:52:33Z,1.1,54,2800,50451,DESCENDING,WBS,HH,RIGHT,C3315903479-ASF,G4054840898-ASF,https://cumulus.asf.earthdatacloud.nasa.gov/L1.1/ALOS2/ALOS2504512800-230926-WBSR1.1__D.zip
ALOS-2,PALSAR-2,ALOS2550570800-240802,ALOS2550570800-240802-WBDR1.1__A,2024-08-02T18:49:03Z,2024-08-02T18:49:55Z,1.1,161,800,55057,ASCENDING,WBD,HH;HV,RIGHT,C3315903479-ASF,G4055618127-ASF,https://cumulus.asf.earthdatacloud.nasa.gov/L1.1/ALOS2/ALOS2550570800-240802-WBDR1.1__A.zip
