collection_concept_id,short_name,entry_title,version,provider,platform,instrument,processing_level,collection_temporal_extent,relevance_evidence,granules_found_2025
C2240727799-ORNL_CLOUD,Ecosystem_Map_SRD_PAD_1947,"ABoVE: Wetland Type, Slave River and Peace-Athabasca Deltas, Canada, 2007 and 2017",1,ORNL_CLOUD,ALOS-2;LANDSAT-5;LANDSAT-8;Sentinel-1A;ERS-2;ALOS,PALSAR-2;IMAGING RADIOMETERS;IMAGING RADIOMETERS;IMAGING RADIOMETERS;IMAGING RADIOMETERS;PALSAR,3,"[{""RangeDateTimes"": [{""BeginningDateTime"": ""2006-06-14T00:00:00.000Z"", ""EndingDateTime"": ""2019-05-28T23:59:59.999Z""}], ""EndsAtPresentFlag"": false}]",ALOS-2;PALSAR-2,0
C2345896855-ORNL_CLOUD,C_Pools_Fluxes_CONUS_1837,"CMS: Terrestrial Carbon Stocks, Emissions, and Fluxes for Conterminous US, 2001-2016",1,ORNL_CLOUD,LANDSAT-8;Aqua;ALOS;ALOS-2;DEM;MODELS;LANDSAT-5,OLI;MODIS;PALSAR;PALSAR-2;SRTM;Computer;TM,4,"[{""RangeDateTimes"": [{""BeginningDateTime"": ""2001-01-01T00:00:00.000Z"", ""EndingDateTime"": ""2016-12-31T23:59:59.999Z""}], ""EndsAtPresentFlag"": false}]",ALOS-2;PALSAR-2,0
C2389289428-ORNL_CLOUD,CMS_CONUS_Biomass_1752,"Carbon Pools across CONUS using the MaxEnt Model, 2005, 2010, 2015, 2016, and 2017",1,ORNL_CLOUD,LANDSAT-5;SPACE SHUTTLES;ALOS;FIELD SURVEYS;Aqua;ALOS-2;LANDSAT-8;MODELS,TM;SRTM;PALSAR;Computer;SURVEYING TOOLS;MODIS;PALSAR-2;OLI;Computer,4,"[{""RangeDateTimes"": [{""BeginningDateTime"": ""2005-01-01T00:00:00.000Z"", ""EndingDateTime"": ""2017-12-31T23:59:59.999Z""}], ""EndsAtPresentFlag"": false}]",ALOS-2;PALSAR-2,0
C2548142753-FEDEO,84403d09cef3485883158f4df2989b0c,"ESA Biomass Climate Change Initiative (Biomass_cci): Global datasets of forest above-ground biomass for the years 2010, 2017 and 2018, v2",NA,FEDEO,ALOS-2;ALOS;ENVISAT;Sentinel-1A;Sentinel-1B;Biomass,PALSAR-2;PALSAR;ASAR;C-SAR;C-SAR;P-SAR,NA,"[{""EndsAtPresentFlag"": false, ""RangeDateTimes"": [{""BeginningDateTime"": ""2010-01-01T00:00:00.000Z"", ""EndingDateTime"": ""2020-12-31T23:59:59.000Z""}]}]",ALOS-2;PALSAR-2,0
C3235172460-ORNL_CLOUD,AGB_Great_Slave_Lake_NWT_2365,"Aboveground Biomass from SAR, Great Slave Lake Region, NWT, 2019",1,ORNL_CLOUD,ALOS-2;G-III,L-SAR;UAVSAR,4,"[{""RangeDateTimes"": [{""BeginningDateTime"": ""2019-01-01T00:00:00.000Z"", ""EndingDateTime"": ""2019-12-31T23:59:59.999Z""}], ""EndsAtPresentFlag"": false}]",ALOS-2;PALSAR-2,0
C3298047930-NSIDC_CPRD,NSIDC-0754,MEaSUREs Phase-Based Antarctica Ice Velocity Map V001,1,NSIDC_CPRD,ALOS;ALOS-2;ENVISAT;ERS-1;ERS-2;LANDSAT-8;RADARSAT-1;RADARSAT-2;SENTINEL-1A;SENTINEL-1B;TDX;TSX,PALSAR;PALSAR-2;ASAR;SAR;SAR;OLI;SAR;SAR;C-SAR;C-SAR;SAR;SAR,3,"[{""EndsAtPresentFlag"": false, ""RangeDateTimes"": [{""BeginningDateTime"": ""1996-01-01T00:00:00.000Z"", ""EndingDateTime"": ""2018-12-31T23:59:59.999Z""}]}]",ALOS-2;PALSAR-2,0
C3315903479-ASF,ALOS2_L1_PSR2,ALOS-2 PALSAR-2 Level 1 ScanSAR Product,1,ASF,ALOS-2,PALSAR-2,1,"[{""RangeDateTimes"": [{""BeginningDateTime"": ""2014-08-01T00:00:00.000Z""}], ""EndsAtPresentFlag"": true}]",ALOS-2;PALSAR-2,0
C4033732506-ORNL_CLOUD,GEDI_L4C_WSCI_Fusion_2474,"GEDI L4C Global Waveform Structural Complexity Index (WSCI) Fusion Product, Version 2",2,ORNL_CLOUD,Sentinel-1B;TSX;ALOS-2;Sentinel-1A;ISS,SENTINEL-1 C-SAR;X-SAR;PALSAR-2;SENTINEL-1 C-SAR;GEDI,4,"[{""RangeDateTimes"": [{""BeginningDateTime"": ""2015-01-01T00:00:00.000Z"", ""EndingDateTime"": ""2023-01-01T23:59:59.999Z""}], ""EndsAtPresentFlag"": false}]",ALOS-2;PALSAR-2,0
C4289567589-ORNL_CLOUD,ABoVE_Soil_Drainage_Maps_SAR_2516,ABoVE: Soil Drainage Maps from L-band SAR across Four Sites in Alaska and Canada,1,ORNL_CLOUD,ALOS-2;ALOS,PALSAR-2;PALSAR,3,"[{""RangeDateTimes"": [{""BeginningDateTime"": ""2006-06-14T00:00:00.000Z"", ""EndingDateTime"": ""2023-07-31T23:59:59.999Z""}], ""EndsAtPresentFlag"": false}]",ALOS-2;PALSAR-2,0
C4289720514-ORNL_CLOUD,Biomass_Cover_GreaterKruger_NP_2512,"Aboveground Biomass and Cover, ALOS PALSAR ScanSAR, Greater Kruger NP, S Africa, 2018",1,ORNL_CLOUD,MODELS;ALOS-2,Computer;PALSAR-2,4,"[{""RangeDateTimes"": [{""BeginningDateTime"": ""2018-09-01T00:00:00.000Z"", ""EndingDateTime"": ""2018-09-30T23:59:59.999Z""}], ""EndsAtPresentFlag"": false}]",ALOS 2;ALOS-2;PALSAR-2;PALSAR2,0
