acquisition_date,scene_id,file_type,filename,absolute_path,size_bytes
2009-08-22,ALPSRP190600830-L1.1,ANCILLARY,EALPSRP190600830.jpg,/home/jazi/Desktop/Tosor_DInSAR_ALOS/data/raw/ALOS_2009_2010/2009-08-22/extracted/EALPSRP190600830.jpg,106244
2009-08-22,ALPSRP190600830-L1.1,IMG,IMG-HH-ALPSRP190600830-H1.1__A,/home/jazi/Desktop/Tosor_DInSAR_ALOS/data/raw/ALOS_2009_2010/2009-08-22/extracted/IMG-HH-ALPSRP190600830-H1.1__A,691790544
2009-08-22,ALPSRP190600830-L1.1,IMG,IMG-HV-ALPSRP190600830-H1.1__A,/home/jazi/Desktop/Tosor_DInSAR_ALOS/data/raw/ALOS_2009_2010/2009-08-22/extracted/IMG-HV-ALPSRP190600830-H1.1__A,691790544
2009-08-22,ALPSRP190600830-L1.1,LED,LED-ALPSRP190600830-H1.1__A,/home/jazi/Desktop/Tosor_DInSAR_ALOS/data/raw/ALOS_2009_2010/2009-08-22/extracted/LED-ALPSRP190600830-H1.1__A,12510240
2009-08-22,ALPSRP190600830-L1.1,TRL,TRL-ALPSRP190600830-H1.1__A,/home/jazi/Desktop/Tosor_DInSAR_ALOS/data/raw/ALOS_2009_2010/2009-08-22/extracted/TRL-ALPSRP190600830-H1.1__A,840720
2009-08-22,ALPSRP190600830-L1.1,VOL,VOL-ALPSRP190600830-H1.1__A,/home/jazi/Desktop/Tosor_DInSAR_ALOS/data/raw/ALOS_2009_2010/2009-08-22/extracted/VOL-ALPSRP190600830-H1.1__A,2160
2009-08-22,ALPSRP190600830-L1.1,ANCILLARY,summary.txt,/home/jazi/Desktop/Tosor_DInSAR_ALOS/data/raw/ALOS_2009_2010/2009-08-22/extracted/summary.txt,1320
2010-08-25,ALPSRP244280830-L1.1,ANCILLARY,EALPSRP244280830.jpg,/home/jazi/Desktop/Tosor_DInSAR_ALOS/data/raw/ALOS_2009_2010/2010-08-25/extracted/EALPSRP244280830.jpg,115468
2010-08-25,ALPSRP244280830-L1.1,IMG,IMG-HH-ALPSRP244280830-H1.1__A,/home/jazi/Desktop/Tosor_DInSAR_ALOS/data/raw/ALOS_2009_2010/2010-08-25/extracted/IMG-HH-ALPSRP244280830-H1.1__A,691790544
2010-08-25,ALPSRP244280830-L1.1,IMG,IMG-HV-ALPSRP244280830-H1.1__A,/home/jazi/Desktop/Tosor_DInSAR_ALOS/data/raw/ALOS_2009_2010/2010-08-25/extracted/IMG-HV-ALPSRP244280830-H1.1__A,691790544
2010-08-25,ALPSRP244280830-L1.1,LED,LED-ALPSRP244280830-H1.1__A,/home/jazi/Desktop/Tosor_DInSAR_ALOS/data/raw/ALOS_2009_2010/2010-08-25/extracted/LED-ALPSRP244280830-H1.1__A,12510240
2010-08-25,ALPSRP244280830-L1.1,TRL,TRL-ALPSRP244280830-H1.1__A,/home/jazi/Desktop/Tosor_DInSAR_ALOS/data/raw/ALOS_2009_2010/2010-08-25/extracted/TRL-ALPSRP244280830-H1.1__A,840720
2010-08-25,ALPSRP244280830-L1.1,VOL,VOL-ALPSRP244280830-H1.1__A,/home/jazi/Desktop/Tosor_DInSAR_ALOS/data/raw/ALOS_2009_2010/2010-08-25/extracted/VOL-ALPSRP244280830-H1.1__A,2160
2010-08-25,ALPSRP244280830-L1.1,ANCILLARY,summary.txt,/home/jazi/Desktop/Tosor_DInSAR_ALOS/data/raw/ALOS_2009_2010/2010-08-25/extracted/summary.txt,1320
