mission,scene_1,date_1,scene_2,date_2,year_1,year_2,temporal_baseline_days,season_difference_days,season_match_class,repeat_cycle_days,nearest_repeat_cycle_multiple,expected_repeat_cycle_days,repeat_cycle_difference_days,pair_status,metadata_missing,metadata_mismatches,priority_score,path_1,path_2,frame_1,frame_2,orbit_direction_1,orbit_direction_2,beam_1,beam_2,polarization_1,polarization_2,look_direction_1,look_direction_2,quality_flag,selection_reason,metadata_conflicts,geometry_verified,both_summer,both_august,selected,path,frame,orbit_direction,beam_mode,polarization,look_direction
ALOS,ALPSRP190600830-L1.1,2009-08-22T17:15:30.754000+00:00,ALPSRP244280830-L1.1,2010-08-25T17:13:41.804000+00:00,2009,2010,367.9987390046296,3,excellent seasonal match,46,8,368,0.0012609953703872634,COMPATIBLE,,,,519,519,830,830,ASCENDING,ASCENDING,FBD,FBD,HH;HV,HH;HV,RIGHT,RIGHT,HIGH_PRIORITY,Inventory geometry verified; both acquisitions in July–September; 3-day seasonal difference; 0.001261-day repeat-cycle residual; August-to-August comparison; requested historical comparison; year-long separation is accepted; perpendicular baseline and coherence remain untested,,True,True,True,True,519,830,ASCENDING,FBD,HH;HV,RIGHT
ALOS,ALPSRP190600830-L1.1,2009-08-22T17:15:30.754000+00:00,ALPSRP237570830-L1.1,2010-07-10T17:14:14.046000+00:00,2009,2010,321.9991121759259,43,acceptable seasonal match,46,7,322,0.0008878240740841647,COMPATIBLE,,,,519,519,830,830,ASCENDING,ASCENDING,FBD,FBD,HH;HV,HH;HV,RIGHT,RIGHT,MEDIUM_PRIORITY,Inventory geometry verified; both acquisitions in July–September; 43-day seasonal difference; 0.000888-day repeat-cycle residual; requested historical comparison; year-long separation is accepted; perpendicular baseline and coherence remain untested,,True,True,False,True,519,830,ASCENDING,FBD,HH;HV,RIGHT
ALOS,ALPSRP190600830-L1.1,2009-08-22T17:15:30.754000+00:00,ALPSRP250990830-L1.1,2010-10-10T17:13:03.047000+00:00,2009,2010,413.9982904282407,49,poor seasonal match,46,9,414,0.0017095717593065274,COMPATIBLE,,,,519,519,830,830,ASCENDING,ASCENDING,FBD,FBD,HH;HV,HH;HV,RIGHT,RIGHT,LOW_PRIORITY,Inventory geometry verified; not both acquisitions in July–September; 49-day seasonal difference; 0.001710-day repeat-cycle residual; requested historical comparison; year-long separation is accepted; perpendicular baseline and coherence remain untested,,True,False,False,False,519,830,ASCENDING,FBD,HH;HV,RIGHT
ALOS,ALPSRP190600830-L1.1,2009-08-22T17:15:30.754000+00:00,ALPSRP230860830-L1.1,2010-05-25T17:14:41.987000+00:00,2009,2010,275.99943556712964,89,poor seasonal match,46,6,276,0.0005644328703624524,COMPATIBLE,,,,519,519,830,830,ASCENDING,ASCENDING,FBD,FBD,HH;HV,HH;HV,RIGHT,RIGHT,LOW_PRIORITY,Inventory geometry verified; not both acquisitions in July–September; 89-day seasonal difference; 0.000564-day repeat-cycle residual; requested historical comparison; year-long separation is accepted; perpendicular baseline and coherence remain untested,,True,False,False,False,519,830,ASCENDING,FBD,HH;HV,RIGHT
ALOS-2,ALOS2502960850-230915-WBSR1.1__A,2023-09-15T18:49:43+00:00,ALOS2556780850-240913-WBSR1.1__A,2024-09-13T18:49:43+00:00,2023,2024,364.0,2,excellent seasonal match,14,26,364,0.0,COMPATIBLE,,,,161,161,850,850,ASCENDING,ASCENDING,WBS,WBS,HH,HH,RIGHT,RIGHT,HIGH_PRIORITY,Inventory geometry verified; both acquisitions in July–September; 2-day seasonal difference; 0.000000-day repeat-cycle residual; perpendicular baseline and coherence remain untested,,True,True,False,True,161,850,ASCENDING,WBS,HH,RIGHT
ALOS-2,ALOS2504512750-230926-WBSR1.1__D,2023-09-26T06:51:01+00:00,ALOS2558332750-240924-WBSR1.1__D,2024-09-24T06:51:01+00:00,2023,2024,364.0,2,excellent seasonal match,14,26,364,0.0,COMPATIBLE,,,,54,54,2750,2750,DESCENDING,DESCENDING,WBS,WBS,HH,HH,RIGHT,RIGHT,HIGH_PRIORITY,Inventory geometry verified; both acquisitions in July–September; 2-day seasonal difference; 0.000000-day repeat-cycle residual; perpendicular baseline and coherence remain untested,,True,True,False,True,54,2750,DESCENDING,WBS,HH,RIGHT
ALOS-2,ALOS2504512800-230926-WBSR1.1__D,2023-09-26T06:51:41+00:00,ALOS2558332800-240924-WBSR1.1__D,2024-09-24T06:51:41+00:00,2023,2024,364.0,2,excellent seasonal match,14,26,364,0.0,COMPATIBLE,,,,54,54,2800,2800,DESCENDING,DESCENDING,WBS,WBS,HH,HH,RIGHT,RIGHT,HIGH_PRIORITY,Inventory geometry verified; both acquisitions in July–September; 2-day seasonal difference; 0.000000-day repeat-cycle residual; perpendicular baseline and coherence remain untested,,True,True,False,False,54,2800,DESCENDING,WBS,HH,RIGHT
ALOS-2,ALOS2496750800-230804-WBDR1.1__A,2023-08-04T18:49:02+00:00,ALOS2550570800-240802-WBDR1.1__A,2024-08-02T18:49:03+00:00,2023,2024,364.00001157407405,2,excellent seasonal match,14,26,364,1.1574074051168282e-05,COMPATIBLE,,,,161,161,800,800,ASCENDING,ASCENDING,WBD,WBD,HH;HV,HH;HV,RIGHT,RIGHT,HIGH_PRIORITY,Inventory geometry verified; both acquisitions in July–September; 2-day seasonal difference; 0.000012-day repeat-cycle residual; August-to-August comparison; perpendicular baseline and coherence remain untested,,True,True,True,True,161,800,ASCENDING,WBD,HH;HV,RIGHT
ALOS-2,ALOS2502960800-230915-WBSR1.1__A,2023-09-15T18:49:02+00:00,ALOS2556780800-240913-WBSR1.1__A,2024-09-13T18:49:03+00:00,2023,2024,364.00001157407405,2,excellent seasonal match,14,26,364,1.1574074051168282e-05,COMPATIBLE,,,,161,161,800,800,ASCENDING,ASCENDING,WBS,WBS,HH,HH,RIGHT,RIGHT,HIGH_PRIORITY,Inventory geometry verified; both acquisitions in July–September; 2-day seasonal difference; 0.000012-day repeat-cycle residual; perpendicular baseline and coherence remain untested,,True,True,False,False,161,800,ASCENDING,WBS,HH,RIGHT
ALOS-2,ALOS2498080800-230813-WBDR1.1__A,2023-08-13T18:42:05+00:00,ALOS2560180800-241006-WBDR1.1__A,2024-10-06T18:42:05+00:00,2023,2024,420.0,54,poor seasonal match,14,30,420,0.0,COMPATIBLE,,,,160,160,800,800,ASCENDING,ASCENDING,WBD,WBD,HH;HV,HH;HV,RIGHT,RIGHT,LOW_PRIORITY,Inventory geometry verified; not both acquisitions in July–September; 54-day seasonal difference; 0.000000-day repeat-cycle residual; perpendicular baseline and coherence remain untested,,True,False,False,False,160,800,ASCENDING,WBD,HH;HV,RIGHT
